"","happy_about_locality_mean","safety_level_locality_mean","recreation_areas_locality_mean","public_transfer_locality_4","touristic_popularity","wikipedia_area","wikipedia_nr_of_people","wikipedia_city_rights_since","DOCHODY_BUDZETOW_MIAST.Dochody_ogolem","DOCHODY_BUDZETOW_MIAST.Dochody_majatkowe_ogolem","DOCHODY_BUDZETOW_MIAST.Dochody_na_mieszkanca_ogolem","DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_600_Transport_i_lacznosc","DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_803_Szkolnictwo_wyzsze","DOCHODY_BUDZETOW_MIAST.Dotacje_ogolem","Domy_i_osrodki_kultury.ogolem","Imprezy_masowe.liczba_imprez_ogolem","Imprezy_masowe.liczba_imprez_sportowe","KINA.Liczba_ludnosci_na_miejsce_w_kinach_stalych","KOMUNIKACJA_MIEJSKA.dlugosc_bus_pasow","MUZEA.Muzea_w_gestii_samorzadu_muzea_lacznie_z_oddzialami","SCIEZKI_ROWEROWE.sciezki_rowerowe_(drogi_dla_rowerow)_ogolem","TARGOWISKA.Targowiska_sezonowe","TARGOWISKA.Targowiska_stale","TURYSTYCZNE_OBIEKTY.obiekty_ogolem_hotele_kategorii_*****","TURYSTYCZNE_OBIEKTY.obiekty_ogolem_hotele_kategorii_***","accommodations_per1k_given"
"57",4.42558466757628,4.06122401684127,3.71776811980536,0.325140200927713,676.434287149102,115.72,202482,1232,1196973015.11,111458896.61,5911.5,68271409.01,0,294614751.92,10,240,196,48,1.3,1,116,1,7,0,10,2658.93
"58",4.77032711228684,4.50303213260689,4.09743307624356,0.236604398062182,201.825423340422,81.81,128211,1951,825555390.66,54584892.01,6447.18,83909329.45,0,182769637.92,3,79,75,109,0,1,50,0,1,1,6,862.27
"59",4.36559676243117,4.31038598805679,4.05533245069712,0.381224631261549,229.248402391191,84.7,113100,1400,621260396.03,43444112.05,5493.02,27843165.51,0,164798368.71,2,16,5,61,0.5,2,28.6,3,5,0,5,1051.44
"60",4.56624957525537,4.43909153603098,3.93972249299158,0.37471484669106,2742.41741947014,517.24,1777972,0,17004591865.17,720987474.12,9609.67,1857057771.55,0,2174578145.38,65,346,118,54,67.1,10,590,384,59,14,37,3607.52
"61",4.36180668784437,4.49508461636978,3.8001916774561,0.349141990760872,172.851711164251,84.32,111752,1255,657445132.08,24584016.45,5905.96,7841705.95,0,152698358.09,4,16,4,91,0,0,58.9,42,4,0,3,689
"62",4.50514863462746,4.46156250034932,4.11959525677098,0.260758601820218,1595.24680585768,292.82,640648,1214,4456648391.83,330495958.04,6971.6,324519868,17438.6,663997147.9,13,209,106,39,27.8,9,260,449,8,7,23,3205.81
"63",4.59754935925307,4.38976206606315,3.85835414292137,0.405429324418106,226.718823449352,80.4,174349,1922,871596094.18,43554587.08,5015.4,8862790.62,0,203305652.15,5,51,47,53,0,2,23.6,0,5,0,2,898.21
"64",4.43514124758652,4.61169427770275,3.63271577505399,0.430774112860374,NA,30.34,64354,1580,400722908.43,12475463.67,6251.62,4800015.86,0,99359306.72,4,8,4,81,0,3,42.7,20,4,0,6,1772.82
"65",4.51254822019758,4.61256443295626,4.00138947341919,0.295950814006409,261.746777954805,278.32,140113,1323,923401546.59,127924272.66,6590.41,37877557.83,0,234951137.16,4,74,44,92,0.2,0,66,31,4,0,6,963.36
"66",4.69473610045966,4.40076865078498,3.80437495456513,0.405669737619146,112.350751257436,64.64,61942,1272,334748367.64,20072935.74,5372.39,1153425.83,0,85007083.97,7,7,1,219,0,1,19.3,0,2,0,2,646.33
