year
city
DOCHODY_BUDZETOW_MIAST.Dochody_majatkowe_ogolem
DOCHODY_BUDZETOW_MIAST.Dochody_majatkowe_wplywy_ze_sprzedazy_skladnikow_majatkowych
DOCHODY_BUDZETOW_MIAST.Dochody_na_mieszkanca_dochody_wlasne
DOCHODY_BUDZETOW_MIAST.Dochody_na_mieszkanca_dochody_wlasne_dochody_podatkowe_ustalone_i_pobierane_na_podstawie_odrebnych_ustaw
DOCHODY_BUDZETOW_MIAST.Dochody_na_mieszkanca_dochody_wlasne_udzialy_w_podatkach_stanowiacych_dochody_budzetu_panstwa_podatek_dochodowy_od_osob_fizycznych
DOCHODY_BUDZETOW_MIAST.Dochody_na_mieszkanca_dochody_wlasne_udzialy_w_podatkach_stanowiacych_dochody_budzetu_panstwa_podatek_dochodowy_od_osob_prawnych
DOCHODY_BUDZETOW_MIAST.Dochody_na_mieszkanca_ogolem
DOCHODY_BUDZETOW_MIAST.Dochody_na_mieszkanca_udzialy_w_podatkach_stanowiacych_dochody_budzetu_panstwa_razem
DOCHODY_BUDZETOW_MIAST.Dochody_ogolem
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_010_Rolnictwo_i_lowiectwo
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_020_Lesnictwo
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_050_Rybolowstwo_i_rybactwo
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial00_Gornictwo_i_kopalnictwo
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial50_Przetworstwo_przemyslowe
"DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_400_Wytwarzanie_i_zaopatrywanie_w_energie_elektryczna,_gaz_i_wode"
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_500_Handel
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_550_Hotele_i_restauracje
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_600_Transport_i_lacznosc
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_630_Turystyka
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_700_Gospodarka_mieszkaniowa
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_710_Dzialalnosc_uslugowa
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_720_Informatyka
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_730_Nauka
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_750_Administracja_publiczna
"DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_751_Urzedy_naczelnych_organow_wladzy_panstwowej,_kontroli_i_ochrony_prawa_oraz_sadownictwa"
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_752_Obrona_narodowa
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_754_Bezpieczenstwo_publiczne_i_ochrona_przeciwpozarowa
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_755_Wymiar_sprawiedliwosci
"DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_756_Dochody_od_osob_prawnych,_od_osob_fizycznych_i_od_innych_jednostek_nieposiadajacych_osobowosci_prawnej_oraz_wydatki_zwiazane_z_ich_poborem"
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_757_Obsluga_dlugu_publicznego
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_758_Rozne_rozliczenia
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_801_Oswiata_i_wychowanie
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_803_Szkolnictwo_wyzsze
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_851_Ochrona_zdrowia
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_852_Pomoc_spoleczna
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_853_Pozostale_zadania_w_zakresie_polityki_spolecznej
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_854_Edukacyjna_opieka_wychowawcza
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_855_Rodzina
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_900_Gospodarka_komunalna_i_ochrona_srodowiska
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_921_Kultura_i_ochrona_dziedzictwa_narodowego
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_925_Ogrody_botan_i_zoolog_oraz_naturalne_obszary_i_obiekty_chronionej_przyrody
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_926_Kultura_fizyczna
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_926_Kultura_fizyczna_i_sport
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_dochody_podatkowe_podatek_lesny
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_dochody_podatkowe_podatek_od_czynnosci_cywilnoprawnych
"DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_dochody_podatkowe_podatek_od_dzialalnosci_gospodarczej_osob_fizycznych,_oplacany_w_formie_karty_podatkowej"
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_dochody_podatkowe_podatek_od_nieruchomosci
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_dochody_podatkowe_podatek_od_srodkow_transportowych
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_dochody_podatkowe_podatek_rolny
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_dochody_podatkowe_ustalone_i_pobierane_na_podstawie_odrebnych_ustaw
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_dochody_z_majatku
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_dochody_z_majatku_dochody_z_najmu_i_dzierzawy_skladnikow_majatkowych_JST_oraz_innych_umow_o_podobnym_charakterze
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_dochody_z_majatku_wplywy_z_uslug
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_oplaty_lokalne
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_pozostale_dochody_srodki_na_dofinansowanie_wlasnych_zadan_pozyskane_z_innych_zrodel_inwestycyjne
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_pozostale_dochody_srodki_na_dofinansowanie_wlasnych_zadan_pozyskane_z_innych_zrodel_razem
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_razem
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_udzialy_w_podatkach_stanowiacych_dochody_budzetu_panstwa_podatek_dochodowy_od_osob_fizycznych
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_udzialy_w_podatkach_stanowiacych_dochody_budzetu_panstwa_podatek_dochodowy_od_osob_prawnych
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_udzialy_w_podatkach_stanowiacych_dochody_budzetu_panstwa_razem
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_wplywy_z_innych_lokalnych_oplat_pobieranych_przez_jednostki_samorzadu_terytorialnego_na_podstawie_odrebnych_ustaw
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_wplywy_z_oplaty_eksploatacyjnej
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_wplywy_z_oplaty_skarbowej
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_wplywy_z_oplaty_targowej
DOCHODY_BUDZETOW_MIAST.Dochody_wlasne_wplywy_z_uslug
DOCHODY_BUDZETOW_MIAST.Dotacje_inwestycyjne
DOCHODY_BUDZETOW_MIAST.Dotacje_ogolem
DOCHODY_BUDZETOW_MIAST.Finansowanie_i_wspolfinansowanie_programow_i_projektow_unijnych_dochody_razem
DOCHODY_BUDZETOW_MIAST.Finansowanie_i_wspolfinansowanie_programow_i_projektow_unijnych_platnosci_w_zakresie_budzetu_srodkow_europejskich
DOCHODY_BUDZETOW_MIAST.Finansowanie_i_wspolfinansowanie_programow_i_projektow_unijnych_srodki_z_budz_panstwa_lub_inne_przekazane_jako_wspolfinansowanie_progr_i_proj_realizowanych_z_udz_sr_z_funduszy_strukturalnych_i_Funduszu_Spojnosci_UE
DOCHODY_BUDZETOW_MIAST.Finansowanie_i_wspolfinansowanie_programow_i_projektow_unijnych_srodki_z_Unii_Europejskiej_na_finansowanie_programow_i_projektow_unijnych
DOCHODY_BUDZETOW_MIAST.Subwencja_ogolna_razem
Domy_i_osrodki_kultury.czlonkowie_grup_artystycznych
Domy_i_osrodki_kultury.czlonkowie_kol_/_klubow_/_sekcji
Domy_i_osrodki_kultury.grupy_artystyczne
Domy_i_osrodki_kultury.imprezy
Domy_i_osrodki_kultury.kola_/_kluby_/_sekcje
Domy_i_osrodki_kultury.liczba_uczestnikow_imprez_na000_mieszkancow
Domy_i_osrodki_kultury.ogolem
Domy_i_osrodki_kultury.uczestnicy_imprez
Imprezy_masowe.liczba_imprez_artystyczno_rozrywkowe
Imprezy_masowe.liczba_imprez_festiwale
Imprezy_masowe.liczba_imprez_imprezy_laczone
