city,area,people,density
Iława,2188,33250,1520
Iłowa,918,3912,426
Iłża,1583,4775,302
Imielin,2799,9153,327
Inowrocław,3042,73114,2403
Ińsko,748,1929,258
Iwonicz-Zdrój,589,1793,304
Izbica Kujawska,224,2631,1175
Jabłonowo Pomorskie,335,3758,1122
Janikowo,951,8758,921
Janowiec Wielkopolski,304,3966,1305
Janów Lubelski,1480,11940,807
Jaraczewo,1007,1420,141
Jarocin,1638,26256,1603
Jarosław,3461,37690,1089
Jasień,479,4328,904
Jasło,3652,35192,964
Jastarnia,506,2710,536
Jastrowie,7230,8598,119
Jastrzębie-Zdrój,8533,89128,1045
Jawor,1880,23056,1226
Jaworzno,15259,91563,600
Jaworzyna Śląska,434,5141,1185
Jedlicze,1060,5759,543
Jedlina-Zdrój,1745,4851,278
Jedwabne,454,1632,359
Jelcz-Laskowice,1706,15792,926
Jelenia Góra,10922,79480,728
Jeziorany,341,3225,946
Jędrzejów,1137,15149,1332
Jordanów,2103,5373,255
Józefów,500,2492,498
Józefów,2391,20605,862
Józefów nad Wisłą,365,923,253
Jutrosin,162,1967,1214
Kalety,7629,8626,113
Kalisz,6942,100975,1455
Kalisz Pomorski,1196,4377,366
Kalwaria Zebrzydowska,550,4515,821
Kałuszyn,1230,2890,235
Kamienna Góra,1804,19136,1061
Kamień Krajeński,365,2386,654
Kamień Pomorski,1074,8846,824
Kamieńsk,1199,2782,232
Kańczuga,760,3171,417
Karczew,2812,9891,352
Kargowa,455,3754,825
Karlino,940,5919,630
Karpacz,3799,4633,122
Kartuzy,735,14557,1981
Katowice,16464,294510,1789
Kazimierz Dolny,3044,2579,85
Kazimierza Wielka,533,5579,1047
Kąty Wrocławskie,861,6948,807
Kcynia,684,4670,683
Kędzierzyn-Koźle,12371,61062,494
Kępice,611,3606,590
Kępno,779,14123,1813
Kętrzyn,1035,27366,2644
Kęty,2305,18744,813
Kielce,10965,195774,1785
Kietrz,1874,6034,322
Kisielice,337,2103,624
Kleczew,780,4186,537
Kleszczele,4671,1271,27
Kluczbork,1235,23661,1916
Kłecko,962,2637,274
Kłobuck,4746,12957,273
Kłodawa,431,6481,1504
Kłodzko,2484,26954,1085
Knurów,3395,38402,1131
Knyszyn,2368,2755,116
Kobylin,487,3245,666
Kobyłka,1964,23706,1207
Kock,1678,3315,198
Kolbuszowa,798,9133,1144
Kolno,2507,10261,409
Kolonowskie,5570,3328,60
Koluszki,990,13026,1316
Kołaczyce,715,1403,196
Koło,1385,21994,1588
Kołobrzeg,2567,46367,1806
Koniecpol,3692,5950,161
Konin,8231,74151,901
Konstancin-Jeziorna,1774,17086,963
Konstantynów Łódzki,2725,18096,664
Końskie,1770,19330,1092
Koprzywnica,1790,2488,139
Korfantów,1023,1817,178
Koronowo,2815,11182,397
Korsze,403,4259,1057
Kosów Lacki,1157,2088,180
Kostrzyn,798,9677,1213
Kostrzyn nad Odrą,4614,17776,385
Koszalin,9834,107321,1091
Koszyce,325,782,241
Kościan,901,23923,2655
Kościerzyna,1586,23759,1498
Kowal,468,3499,748
Kowalewo Pomorskie,445,4143,931
Kowary,3739,10957,293
Koziegłowy,2671,2463,92
Kozienice,1045,17331,1658
Koźmin Wielkopolski,589,6536,1110
Kożuchów,594,9490,1598
Kórnik,599,7847,1310
Krajenka,376,3638,968
Kraków,32685,771069,2359
Krapkowice,2101,16381,780
Krasnobród,699,3094,443
Krasnystaw,4213,18778,446
Kraśnik,2610,34539,1323
Krobia,705,4313,612
Krosno,4350,46511,1069
Krosno Odrzańskie,815,11378,1396
Krośniewice,418,4375,1047
Krotoszyn,2254,28969,1285
Kruszwica,664,8818,1328
Krynica Morska,11856,1303,11
Krynica-Zdrój,3968,10686,269
Krynki,383,2415,631
Krzanowice,308,2158,701
Krzepice,2766,4462,161
Krzeszowice,1697,10051,592
Krzywiń,227,1714,755
Krzyż Wielkopolski,581,6216,1070
Książ Wielkopolski,196,2726,1391
Kudowa-Zdrój,3390,9954,294
Kunów,726,2979,410
Kutno,3359,44172,1315
Kuźnia Raciborska,3149,5386,171
Kwidzyn,2154,38481,1786
Lądek-Zdrój,2032,5622,277
Legionowo,1354,54066,3993
Legnica,5629,99752,1772
Lesko,1533,5431,354
Leszno,3186,63952,2007
Leśna,856,4484,524
Leśnica,1450,2585,178
Lewin Brzeski,1164,5743,493
Leżajsk,2058,13891,675
Lębork,1786,35367,1980
Lędziny,3165,16822,532
Libiąż,3585,17084,477
Lidzbark,568,7817,1376
Lidzbark Warmiński,1435,15820,1102
Limanowa,1870,15158,811
Lipiany,554,3946,712
Lipno,1099,14478,1317
Lipsk,498,2350,472
Lipsko,1570,5544,353
Lubaczów,2573,12078,469
Lubań,1612,21168,1313
Lubartów,1391,21995,1581
Lubawa,1684,10381,616
Lubawka,2244,6063,270
Lubień Kujawski,231,1397,605
Lubin,4077,72581,1780
Lublin,14747,339682,2303
Lubliniec,8936,23818,267
Lubniewice,1211,2042,169
Lubomierz,805,1990,247
Luboń,1351,31783,2353
Lubowidz,527,1697,322
Lubraniec,197,3028,1537
Lubsko,1251,14000,1119
Lubycza Królewska,392,2443,623
Lwówek,316,2977,942
Lwówek Śląski,1665,8870,533
Łabiszyn,289,4501,1557
Łagów,822,1587,193
Łańcut,1942,17738,913
Łapy,1214,15643,1289
Łasin,479,3298,689
Łask,1567,17344,1107
Łaskarzew,1535,4860,317
Łaszczów,501,2154,430
Łaziska Górne,2007,22334,1113
Łazy,860,6845,796
Łeba,1656,3675,222
Łęczna,1900,19006,1000
Łęczyca,895,14094,1575
Łęknica,1643,2483,151
Łobez,1284,10241,798
Łobżenica,325,2972,914
Łochów,1339,6821,509
Łomianki,840,16977,2021
Łomża,3267,63000,1928
Łosice,2374,7071,298
Łowicz,2342,28501,1217
Łódź,29325,685285,2337
Łuków,3575,30025,840
Maków Mazowiecki,1028,9787,952
Maków Podhalański,2012,5853,291
Malbork,1716,38570,2248
Małogoszcz,968,3769,389
Małomice,537,3489,650
Margonin,515,3019,586
Marki,2615,33914,1297
Maszewo,554,3363,607
Miasteczko Śląskie,6783,7449,110
Miastko,568,10473,1844
Michałowo,215,3047,1417
Miechów,1549,11652,752
Miejska Górka,314,3244,1033
Mielec,4689,60478,1290
Mielno,3345,2952,88
Mieroszów,1031,4106,398
Mieszkowice,525,3645,694
Międzybórz,641,2352,367
Międzychód,698,10623,1522
Międzylesie,1437,2591,180
Międzyrzec Podlaski,2003,16796,839
Międzyrzecz,1026,18099,1764
Międzyzdroje,516,5399,1046
Mikołajki,932,3838,412
Mikołów,7921,40813,515
Mikstat,252,1855,736
Milanówek,1344,16306,1213
Milicz,1350,11357,841
Miłakowo,876,2560,292
Miłomłyn,1238,2442,197
Miłosław,407,3572,878
Mińsk Mazowiecki,1318,40799,3096
Mirosławiec,241,3089,1282
Mirsk,1466,3902,266
Mława,3480,31234,898
Młynary,276,1780,645
Modliborzyce,789,1460,185
Mogielnica,1298,2260,174
Mogilno,832,11880,1428
Mońki,766,10010,1307
Morawica,438,1695,387
Morąg,611,13838,2265
Mordy,454,1793,395
Moryń,554,1626,294
Mosina,1350,14015,1038
Mrągowo,1481,21708,1466
Mrocza,501,4366,871
Mrozy,773,3552,460
Mszana Dolna,2710,7948,293
Mszczonów,856,6386,746
Murowana Goślina,862,10396,1206
Muszyna,2443,4831,198
Mysłowice,6562,74586,1137
Myszków,7359,31762,432
Myszyniec,1122,3426,305
Myślenice,3022,18386,608
Myślibórz,1504,11235,747
Nakło nad Notecią,1082,18353,1696
Nałęczów,1382,3768,273
Namysłów,2261,16490,729
Narol,1242,2076,167
Nasielsk,1257,7707,613
Nekla,1979,3754,190
Nidzica,686,13820,2015
Niemcza,1981,2974,150
Niemodlin,1311,6359,485
Niepołomice,2740,13001,474
Nieszawa,979,1886,193
Nisko,6096,15359,252
Nowa Dęba,1670,11181,670
Nowa Ruda,3705,22246,600
Nowa Sarzyna,915,5880,643
Nowa Słupia,1397,1361,97
Nowa Sól,2180,38843,1782
Nowe,357,5864,1643
Nowe Brzesko,726,1683,232
Nowe Miasteczko,329,2770,842
Nowe Miasto Lubawskie,1137,10925,961
Nowe Miasto nad Pilicą,1125,3789,337
Nowe Skalmierzyce,158,4770,3019
Nowe Warpno,2451,1192,49
Nowogard,1257,16671,1326
Nowogrodziec,1610,4235,263
Nowogród,2055,2156,105
Nowogród Bobrzański,1463,5188,355
Nowy Dwór Gdański,507,9917,1956
Nowy Dwór Mazowiecki,2821,28647,1015
Nowy Korczyn,752,955,127
Nowy Sącz,5758,83896,1457
Nowy Staw,467,4283,917
Nowy Targ,5107,33373,653
Nowy Tomyśl,520,14603,2808
Nowy Wiśnicz,497,2745,552
Nysa,2751,44044,1601
Oborniki,1408,18179,1291
Oborniki Śląskie,1446,9109,630
Obrzycko,374,2385,638
Odolanów,476,5130,1078
Ogrodzieniec,2856,4296,150
Okonek,601,3900,649
Olecko,1154,16477,1428
Olesno,1508,9406,624
Oleszyce,508,2993,589
Oleśnica,2096,37242,1777
Oleśnica,1004,1848,184
Olkusz,2565,35608,1388
Olsztyn,8833,172362,1951
Olsztynek,769,7581,986
Olszyna,2026,4359,215
Oława,2736,32927,1203
Opalenica,642,9596,1495
Opatowiec,547,329,60
Opatów,936,6496,694
Opatówek,868,3677,424
Opoczno,2699,21327,790
Opole,14888,128137,861
Opole Lubelskie,1512,8470,560
Orneta,963,8817,916
Orzesze,8375,20927,250
Orzysz,817,5579,683
Osieczna,476,2347,493
Osiek,1743,2015,116
Ostrołęka,3346,52262,1562
Ostroróg,125,1920,1536
Ostrowiec Świętokrzyski,4643,69051,1487
Ostróda,1415,32996,2332
Ostrów Lubelski,2977,2092,70
Ostrów Mazowiecka,2227,22545,1012
Ostrów Wielkopolski,4190,72050,1720
Ostrzeszów,1213,14176,1169
Ośno Lubuskie,801,3949,493
Oświęcim,3000,38300,1277
Otmuchów,4954,6615,134
Otwock,4731,44880,949
Otyń,786,1601,204
Ozimek,325,8725,2685
Ozorków,1546,19456,1258
Ożarów,779,4599,590
Ożarów Mazowiecki,813,11576,1424
Pabianice,3299,65283,1979
Pacanów,713,1117,157
Paczków,660,7530,1141
Pajęczno,2023,6781,335
Pakość,346,5723,1654
Parczew,805,10650,1323
Pasłęk,1063,12211,1149
Pasym,1518,2517,166
Pelplin,442,7818,1769
Pełczyce,1307,2589,198
Piaseczno,1622,48119,2967
Piaski,844,2556,303
Piastów,576,22657,3934
Piechowice,4322,6222,144
Piekary Śląskie,3998,55299,1383
Pieniężno,381,2746,721
Pieńsk,992,5848,590
Pierzchnica,693,1152,166
Pieszyce,1772,7136,403
Pilawa,666,4589,689
Pilica,822,1947,237
Pilzno,1604,4903,306
Piła,10268,73398,715
Piława Górna,2093,6457,309
Pińczów,1433,10844,757
Pionki,1840,18427,1001
Piotrków Kujawski,976,4468,458
Piotrków Trybunalski,6724,73670,1096
Pisz,1008,19318,1916
Piwniczna-Zdrój,3830,5882,154
Pleszew,1338,17356,1297
Płock,8804,120000,1363
Płońsk,1160,22163,1911
Płoty,412,3983,967
Pniewy,932,8060,865
Pobiedziska,1024,9181,897
Poddębice,587,7448,1269
Podkowa Leśna,1013,3854,380
Pogorzela,436,2100,482
Polanica-Zdrój,1722,6357,369
Polanów,737,2918,396
Police,3731,32685,876
Polkowice,2374,22487,947
Połaniec,1741,8120,466
Połczyn-Zdrój,721,8109,1125
Poniatowa,1526,9195,603
Poniec,348,2851,819
Poręba,3999,8568,214
Poznań,26191,536438,2048
Prabuty,729,8696,1193
Praszka,935,7704,824
Prochowice,985,3620,368
Proszowice,733,6012,820
Prószków,1622,2591,160
Pruchnik,1990,3774,190
Prudnik,2050,21138,1031
Prusice,1094,2232,204
Pruszcz Gdański,1647,30878,1875
Pruszków,1919,61784,3220
Przasnysz,2516,17309,688
Przecław,1604,1768,110
Przedbórz,608,3572,588
Przedecz,298,1670,560
Przemków,617,6149,997
Przemyśl,4617,61251,1327
Przeworsk,2213,15376,695
Przysucha,702,5854,834
Pszczyna,2249,25829,1148
Pszów,2044,13994,685
Puck,479,11241,2347
Puławy,5049,47774,946
Pułtusk,2307,19431,842
Puszczykowo,1639,9698,592
Pyrzyce,3879,12617,325
Pyskowice,3089,18456,597
Pyzdry,1216,3145,259
Rabka-Zdrój,3631,12780,352
Raciąż,840,4420,526
Racibórz,7501,54882,732
Radków,1503,2418,161
Radlin,1253,17806,1421
Radłów,1683,2767,164
Radom,11180,213029,1905
Radomsko,5143,46087,896
Radomyśl Wielki,879,3196,364
Radoszyce,1717,3167,184
Radymno,1362,5314,390
Radziejów,569,5602,985
Radzionków,1320,16818,1274
Radzymin,2339,12876,550
Radzyń Chełmiński,178,1864,1047
Radzyń Podlaski,1931,15731,815
Rajgród,3528,1585,45
Rakoniewice,337,3599,1068
Raszków,205,2099,1024
Rawa Mazowiecka,1430,17408,1217
Rawicz,774,20337,2628
Recz,1240,2914,235
Reda,3346,25810,771
Rejowiec,650,2070,318
Rejowiec Fabryczny,1428,4417,309
Resko,449,4231,942
Reszel,382,4571,1197
Rogoźno,1124,11148,992
Ropczyce,4710,15856,337
Różan,666,2727,409
Ruciane-Nida,1707,4474,262
Ruda Śląska,7773,138000,1775
Rudnik nad Sanem,3660,6726,184
Rumia,3010,49031,1629
Rybnik,14836,138696,935
Rychwał,970,2391,246
Rydułtowy,1495,21637,1447
Rydzyna,220,2867,1303
Ryglice,2515,2831,113
Ryki,2722,9667,355
Rymanów,1239,3819,308
Ryn,414,2851,689
Rypin,1096,16354,1492
Rzepin,1142,6564,575
Rzeszów,12661,193883,1531
Rzgów,1677,3401,203
Sandomierz,2869,23644,824
Sanniki,1176,1983,169
Sanok,3808,37577,987
Sejny,449,5344,1190
Serock,1343,4416,329
Sędziszów,792,6484,819
Sędziszów Małopolski,3699,12276,332
Sępopol,463,1964,424
Sępólno Krajeńskie,655,9118,1392
Sianów,1588,6664,420
Siechnice,1563,7892,505
Siedlce,3186,77872,2444
Siedliszcze,1316,1412,107
Siemianowice Śląskie,2550,67154,2633
Siemiatycze,3625,14505,400
Sieniawa,674,2140,318
Sieradz,5122,42267,825
Sieraków,1408,6056,430
Sierpc,1859,18014,969
Siewierz,3866,5592,145
Skalbmierz,713,1289,181
Skała,297,3803,1280
Skarszewy,1079,7023,651
Skaryszew,2749,4376,159
Skarżysko-Kamienna,6439,45358,704
Skawina,2050,24362,1188
Skępe,748,3603,482
Skierniewice,3460,48178,1392
Skoczów,985,14469,1469
Skoki,1120,4346,388
Skórcz,363,3611,995
Skwierzyna,3589,9698,270
Sława,1490,4316,290
Sławków,3667,7043,192
Sławno,1583,12528,791
Słomniki,343,4348,1268
Słubice,1921,16773,873
Słupca,1030,13773,1337
Słupsk,4315,91007,2109
Sobótka,3220,6957,216
Sochaczew,2619,36462,1392
Sokołów Małopolski,1554,4165,268
Sokołów Podlaski,1751,18939,1082
Sokółka,1859,18210,980
Solec Kujawski,1868,15641,837
Sompolno,621,3552,572
Sopot,1728,36046,2086
Sosnowiec,9106,202036,2219
Sośnicowice,1167,1906,163
Stalowa Wola,8252,61182,741
Starachowice,3182,48965,1539
Stargard,4808,67938,1413
Starogard Gdański,2528,47776,1890
Stary Sącz,1500,9048,603
Staszów,2688,14810,551
Stawiski,1324,2195,166
Stawiszyn,99,1526,1541
Stąporków,1094,5679,519
Stepnica,340,2471,727
Stęszew,569,5931,1042
Stoczek Łukowski,915,2536,277
Stopnica,455,1425,313
Stronie Śląskie,238,5741,2412
Strumień,629,3680,585
Stryków,815,3494,429
Strzegom,2049,16153,788
Strzelce Krajeńskie,554,9969,1799
Strzelce Opolskie,2997,17982,600
Strzelin,1034,12435,1203
Strzelno,446,5663,1270
Strzyżów,1389,8902,641
Sucha Beskidzka,2765,9165,331
Suchań,357,1477,414
Suchedniów,5940,8379,141
Suchowola,2595,2180,84
Sulechów,688,16925,2460
Sulejów,2626,6204,236
Sulejówek,1931,19714,1021
Sulęcin,856,10157,1187
Sulmierzyce,2929,2887,99
Sułkowice,1646,6633,403
Supraśl,569,4622,812
Suraż,3386,988,29
Susz,667,5571,835
Suwałki,6551,69827,1066
Swarzędz,823,30433,3698
Syców,1705,10420,611
Szadek,1793,1917,107
Szamocin,467,4222,904
Szamotuły,1108,18776,1695
Szczawnica,3290,5776,176
Szczawno-Zdrój,1474,5608,380
Szczebrzeszyn,2912,5040,173
Szczecin,30060,402465,1339
Szczecinek,4848,40114,827
Szczekociny,1803,3622,201
Szczucin,685,4173,609
Szczuczyn,1323,3394,257
Szczyrk,3907,5747,147
